trip_idx,n_links
0,4
1,6
2,9
3,9
4,4
5,4
6,40
7,17
8,4
9,11
10,9
11,23
12,14
13,15
14,12
15,7
16,16
17,16
18,4
19,5
20,9
21,4
22,31
23,6
24,9
25,11
26,20
27,10
28,5
29,7
30,5
31,5
32,10
33,10
34,20
35,3
36,4
37,4
38,12
39,21
40,10
41,13
42,9
43,9
44,14
45,7
46,9
47,4
48,5
49,6
50,12
51,16
52,7
53,9
54,13
55,6
56,7
57,11
58,19
59,7
60,22
61,5
62,9
63,14
64,33
65,12
66,15
67,11
68,5
69,6
70,39
71,15
72,12
73,11
74,21
75,12
76,15
77,22
78,10
79,12
80,10
81,15
82,16
83,18
84,8
85,4
86,25
87,7
88,31
89,3
90,29
91,6
92,3
93,11
94,20
95,34
96,7
97,40
98,10
99,7
100,9
101,25
102,20
103,14
104,11
105,7
106,13
107,5
108,10
109,17
110,6
111,3
112,4
113,5
114,4
115,26
116,32
117,31
118,3
119,9
120,19
121,6
122,21
123,20
124,5
125,5
126,13
127,7
128,11
129,3
130,5
131,8
132,4
133,3
134,5
135,8
136,46
137,5
138,11
139,18
140,17
141,11
142,7
143,4
144,8
145,5
146,15
147,7
148,4
149,6
150,6
151,4
152,6
153,11
154,3
155,5
156,6
157,4
158,8
159,5
160,14
161,16
162,19
163,12
164,13
165,20
166,29
167,15
168,4
169,9
170,7
171,5
172,20
173,4
174,5
175,22
176,8
177,13
178,4
179,9
180,15
181,4
182,26
183,27
184,6
185,14
186,35
187,6
188,3
189,22
190,20
191,12
192,29
193,16
194,20
195,23
196,7
197,10
198,8
199,3
200,16
201,7
202,16
203,4
204,6
205,7
206,7
207,10
208,11
209,14
210,4
211,6
212,24
213,20
214,7
215,12
216,8
217,6
218,12
219,6
220,14
221,5
222,16
223,15
224,7
225,10
226,7
227,6
228,4
229,19
230,5
231,18
232,21
233,9
234,4
235,10
236,8
237,6
238,7
239,9
240,7
241,18
242,19
243,16
244,8
245,21
246,6
247,19
248,4
249,10
250,21
251,22
252,23
253,9
254,7
255,8
256,3
257,6
258,6
259,8
260,12
261,6
262,3
263,18
264,9
265,8
266,14
267,12
268,8
269,6
270,21
271,18
272,24
273,10
274,11
275,21
276,12
277,11
278,11
279,17
280,18
281,7
282,18
283,14
284,12
285,6
286,6
287,3
288,7
289,7
290,19
291,11
292,10
293,9
294,10
295,10
296,20
297,11
298,14
299,13
300,15
301,24
302,14
303,3
304,11
305,7
306,12
307,3
308,19
309,26
310,9
311,8
312,3
313,6
314,5
315,13
316,8
317,10
318,7
319,6
320,11
321,6
322,16
323,9
324,3
325,11
326,9
327,5
328,8
329,3
330,15
331,6
332,15
333,20
334,7
335,9
336,4
337,21
338,7
339,6
340,11
341,14
342,4
343,15
344,3
345,6
346,10
347,9
348,12
349,17
350,19
351,24
352,6
353,20
354,22
355,12
356,13
357,13
358,10
359,6
360,6
361,6
362,20
363,10
364,5
365,8
366,7
367,18
368,13
369,21
370,21
371,7
372,5
373,20
374,5
375,6
376,18
377,20
378,22
379,17
380,11
381,7
382,26
383,6
384,4
385,21
386,7
387,4
388,9
389,8
390,13
391,11
392,11
393,11
394,6
395,5
396,7
397,11
398,5
399,12
400,7
401,19
402,15
403,11
404,9
405,10
406,16
407,3
408,4
409,5
