,beta_len,se_len,beta_capG,se_cap,beta_capL,L0,LL,runtime
0,-2.547757207019952,0.5656475758250029,0.043743457860538716,0.6380605900808852,2.0019065214331464,-1210.4459154953167,-347.9260879535727,2.315922975540161
1,-2.612133220070181,0.600338288132707,0.18645422327012923,0.9119134296477708,1.8502810612331901,-1160.881537059163,-358.1899618478182,2.183418035507202
2,-2.377181567601716,0.5915888491211043,0.08829132566178097,0.35936289822326856,1.7451773188440325,-1180.8841999900444,-373.33087775009477,2.239633083343506
3,-2.543769957219121,1.3247098780963362,-0.11966053523991028,0.5409732724100882,2.1261748597060652,-1138.3215006127189,-319.15320653748404,2.088554859161377
4,-2.446449131215315,0.4430697164377672,-0.0032958081376957306,0.5675541988322257,1.9139454631167623,-1228.6191782340422,-335.8919270268131,2.151146173477173
5,-2.2280791342037776,0.6497990640396928,-0.11320605015055385,0.19287102350133595,1.8163942507523407,-1103.8009831036588,-373.4011897119072,2.051548957824707
6,-2.547291451225537,0.9896722570786783,0.030546046071181426,1.3313416010422503,2.1183822094673666,-1202.1994153309647,-308.84541462902246,2.0997860431671143
7,-2.439576470532801,0.6546310450909925,-0.004044497712650945,0.8880874526434059,1.95614443113713,-1219.7686371979662,-362.40955904668937,2.199022054672241
8,-2.3900890781124007,0.971901198572058,-0.016239871396341716,0.8001319109608619,1.9704391447986944,-1101.1362613151741,-340.81894171679585,2.1017253398895264
9,-2.679649343219611,0.20217843325303592,0.20054724831979398,0.6304900525449004,1.8721369825657972,-1204.3996143869235,-353.9567885393975,1.738982915878296
