,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
L0,-1768.2302783999025,-1849.0641473722794,-1695.9764118640246,-1899.7841193929678,-1636.2713781378216,-1645.9534692374489,-1801.4756425027374,-1676.11492631933,-1671.5802500109646,-1625.1376586912902,-1757.0493050205707,-1674.1629033330894,-1832.8187066985288,-1690.90691450337,-1704.3857093488007,-1608.055332558889,-1793.023598381147,-1678.2960746030387,-1845.8812613010614,-1643.8123276899278,-1592.3842326092822,-1781.1118427266263,-1840.3445296182153,-1850.3747562620758,-1678.064684201034,-1912.863987821977,-1774.3272438540653,-1898.5298903617104,-1734.3846870240613,-1776.088949526904,-1739.1880873682665,-1590.786174899417,-1698.6195428953972,-1895.153593304555,-1838.1726744949717,-1602.3689139659832,-1763.6623140031265,-1655.536009571218,-1765.6909595846287,-1820.4824793220985,-1686.680341084161,-1753.6921530027146,-1981.0261320139916,-1823.4544653585183,-1849.3148644609175,-1878.274820618355,-1544.7831353253985,-1690.5022020038343,-1782.148392237353,-1651.542581845933,-1722.5336900703746,-1639.7549648330266,-1839.4136985070193,-1803.3284246692567,-1880.4630554722667,-1610.984250990957,-1930.4524413671916,-1682.0663240726622,-1969.5192022274437,-1906.6919225736674,-1918.6187197970241,-1636.8168086630478,-1589.6626344336244,-1921.194102286044,-1806.7952707125119,-1899.433340359108,-1760.5560323642298,-2061.00360029194,-1836.2977247005113,-1579.0838029937022,-1974.7669723918063,-1868.8944543699529,-1914.4911382046823,-1690.0559040079547,-1649.874750668624,-1807.0811141876954,-1959.1770365405887,-1579.1789094392877,-1643.1557427276152,-1648.5290087812393,-1805.3290521087656,-1626.7292373276055,-1745.5938780283016,-1773.521849150786,-1817.7001565877622,-1602.1708834205865,-1909.738385126294,-1956.1871994686176,-1657.3572308389348,-1634.5064954057893,-1545.4336541592713,-1673.1626334896928,-1818.0291559991851,-1800.936635829776,-1764.9099406159044,-1662.31496190391,-1840.9496848897595,-1739.4398292416101,-1623.3169606763738,-1663.8238801270654,,,,,,,,,,,,,,,,,,,,
LL,-1694.8549825199173,-1768.4562702862527,-1605.4012100967657,-1823.189663040353,-1560.4718782751168,-1578.2602112827035,-1698.1414784324977,-1601.9926069777023,-1591.964861160549,-1560.365716905636,-1682.1293549928805,-1589.8590346997387,-1787.8608303684791,-1628.5524512995457,-1607.6085706908655,-1516.9723481415476,-1741.0073618387512,-1613.0635047341132,-1770.4999604052168,-1571.703914567824,-1513.0005047386278,-1702.2715195080682,-1737.4553002148737,-1753.006325507184,-1585.8265982863245,-1831.7806728578084,-1704.1726356853223,-1814.1089140896133,-1692.6971565992349,-1708.02559724793,-1698.5826616242387,-1495.6200789403538,-1627.2236767876307,-1811.9516367757544,-1766.308269593553,-1516.0752243525053,-1667.8986786686967,-1612.8696865224342,-1678.2412327569762,-1747.2166896258047,-1601.8571425244816,-1691.092681960676,-1895.4670347359452,-1758.6668047106125,-1767.5159703124962,-1798.9611817714076,-1478.0983397601267,-1611.2163524332275,-1713.4429096994584,-1572.5039631750153,-1651.0146762245056,-1555.4482762315588,-1746.545466649001,-1707.2642630873784,-1797.9080154038745,-1531.3786863836176,-1840.862860104958,-1628.4397723650525,-1897.726910755947,-1825.316519208273,-1844.1309890496284,-1563.9174401619262,-1516.231291806598,-1818.421504024626,-1743.2420989176935,-1829.2608815233698,-1699.56335326383,-1993.6263811315423,-1760.8725027523146,-1519.679181172684,-1893.0988628748628,-1789.294586098046,-1826.8217110993678,-1623.95664661569,-1572.7819214290018,-1717.5184832021948,-1898.0099127681244,-1509.1826378487801,-1561.518967217957,-1558.0052892957333,-1760.2062946714836,-1518.7591876810827,-1671.8863242112077,-1674.0819397604846,-1724.1886564505658,-1550.083031807876,-1833.7090442707681,-1882.8178777809665,-1610.2754520771873,-1580.2861461120444,-1474.6169312828893,-1616.3515826883095,-1740.2677928719756,-1748.8871004333043,-1705.082245080937,-1596.0046072240686,-1741.6341836983875,-1689.9804507225747,-1558.5495906660556,-1594.3072685662369,,,,,,,,,,,,,,,,,,,,
Lv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
runtime,43.745083808898926,33.66688776016235,32.11378574371338,35.45469903945923,33.77334475517273,41.05545711517334,40.94547414779663,43.507917165756226,38.92301607131958,40.652490854263306,35.43763995170593,37.29892611503601,43.19313287734985,44.71228098869324,43.51481294631958,39.303791999816895,45.82119083404541,41.33813500404358,39.20435118675232,38.86789512634277,37.711843967437744,40.83630585670471,34.263988971710205,38.791301012039185,44.16279602050781,39.21828103065491,38.33475613594055,37.82654094696045,43.57916212081909,43.52378988265991,47.19329833984375,43.60120487213135,40.20047116279602,41.325886964797974,47.47098112106323,42.68622398376465,41.63503122329712,43.61721205711365,35.92944407463074,42.66295289993286,40.547369956970215,41.57801795005798,43.476123332977295,42.77563190460205,46.19441199302673,39.241867780685425,42.14046907424927,40.86067724227905,42.880828857421875,36.22377300262451,43.278076171875,37.66214108467102,41.64118719100952,38.705156087875366,40.24458694458008,37.48511505126953,41.285008907318115,40.352251052856445,38.92314696311951,42.74195098876953,41.05001401901245,38.779107093811035,38.83247494697571,41.67437696456909,44.56410098075867,41.96285891532898,40.609042167663574,41.77413773536682,34.826987981796265,39.67805790901184,33.57366919517517,40.05237364768982,40.45132327079773,36.884143114089966,40.35424208641052,40.65467429161072,37.18115210533142,46.628105878829956,36.98260283470154,39.54021692276001,42.91233992576599,40.426968812942505,38.83099389076233,41.12516808509827,44.00643825531006,42.74927282333374,41.3552131652832,45.742424964904785,41.53833818435669,38.674692153930664,49.45022678375244,41.898542642593384,48.69264602661133,36.78490591049194,38.61882305145264,30.400672912597656,32.771209955215454,37.86717200279236,34.02331185340881,29.965834140777588,,,,,,,,,,,,,,,,,,,,
gamma,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,,,,,,,,,,,,,,,,,,,,
beta_length_g,-0.35031474777927385,-0.3529281512116526,-0.37761700018572375,-0.3426311774691412,-0.3601356117834302,-0.34659589395585966,-0.3617774219479958,-0.3560505434703263,-0.3675424358323484,-0.35760271944244476,-0.34660032729323353,-0.3510817239656773,-0.3332230953046723,-0.340684702215015,-0.36780804077359985,-0.3731467379704057,-0.3350942893612789,-0.3467304847144534,-0.3519201751648987,-0.35834129817190696,-0.3677017119561743,-0.3572061720656712,-0.3580011191978233,-0.36015646392894285,-0.36641109573908553,-0.3463755183005284,-0.35378820283286555,-0.3403260702280245,-0.3396704379045877,-0.3408839434034124,-0.33734394970932335,-0.3649201769818556,-0.355261032111083,-0.3481784244615729,-0.34811289271453655,-0.34563448310042416,-0.3481553216240918,-0.3452589666850195,-0.3589576577758964,-0.34965924142257393,-0.3615604877006318,-0.35066993120328566,-0.35567395131441515,-0.3355929575668066,-0.3488055586874658,-0.3322727062172003,-0.36011528634451023,-0.3526759181442565,-0.34358602025423934,-0.36123589692738156,-0.3476664236360398,-0.34634735833113617,-0.36071670449762994,-0.3664846683231296,-0.35434044812006005,-0.37192605275934787,-0.352586870022316,-0.35426151650842375,-0.34217838877104684,-0.3380348003642162,-0.34635159338771965,-0.3664068484317942,-0.36590308544607414,-0.34471100591922954,-0.3516965313901711,-0.34735665005573224,-0.3455065759745432,-0.33682408787641194,-0.34031683771008037,-0.34612410599537186,-0.33401231630287337,-0.3446765794016856,-0.3585369809863298,-0.35919001091826064,-0.35379411570933894,-0.33786532592373186,-0.3345179897725886,-0.34915975773202707,-0.36936539593056084,-0.3844455141630603,-0.34046667832318667,-0.375655540966656,-0.35108292191050927,-0.3489318054526279,-0.34937057208802974,-0.34920752560225965,-0.3409724597679908,-0.34265865521933947,-0.34203769836495607,-0.3432849933076797,-0.35615995506534825,-0.35121380659379986,-0.33685123066131584,-0.3365420833540179,-0.3398797762229093,-0.35815088186576016,-0.3515031890426376,-0.33426285789666277,-0.36063825744030664,-0.338902547949745,,,,,,,,,,,,,,,,,,,,
se_length_g,0.05029610055922244,0.1355445438268482,0.2964110805765646,0.3835314540032345,0.4791934175329715,0.08303367782448728,0.12110077575656342,0.48855177845582,0.1323939874731213,0.015866074067926672,0.2231524816558648,0.3199934561787003,0.1500495775400555,0.38096623672483193,0.015606242314818568,0.12162370858305692,0.06146915660122432,0.07868552511026264,0.11722084768821077,0.10411393482205407,0.30172546049735344,0.019308479566555393,0.19351495915843664,0.04279009479938326,0.010752046622469378,0.18210656952552504,0.2487993698674939,0.11552486009641459,0.019605178555576558,0.1620991746678896,0.9591747283653045,0.08111164996795185,0.31062867195370336,0.18341400981930225,0.029721650287951196,0.07240718223507248,0.06805466189800467,0.12983281497465218,0.5088922973742069,0.09830975015905986,0.1328481345026385,0.031523517435702995,0.19706260146499197,0.12168233644822167,0.9555053877649637,0.1569027773152393,0.08680386811169177,0.07473568541923153,0.09555236741693653,0.3422640849229648,0.048324963794193376,0.1775570385227835,0.07716707641523717,0.020906715010128613,0.21779921413835618,0.10697595229862014,0.22513576394234328,0.022232765398667288,0.10177509265337234,0.045580737152079,0.14099333357474708,0.08331258960810853,0.1065075669322428,0.13009750725985458,0.9619783881598631,0.12781540970977845,0.03801526953336789,0.22125536339931604,0.2958944523923627,0.044629211787328024,0.17659037013329232,0.08255268530323168,0.029770639053822424,0.39287700121819885,0.11594476167663073,0.018985461777323246,0.053213285695337655,0.9830182594450241,0.02739947896399002,0.02850988357526445,0.03179960423578325,0.19828471787190602,0.22463733038236747,0.034741944200010144,0.16662525598376005,0.04092619191492722,0.10402921756077237,0.2653172783632608,0.02695409893897594,0.08917234394940636,0.6845099370645101,0.040378833780856056,0.14150764341481697,0.118480200178557,0.9224158898876795,0.09835357466250658,0.25549325031541437,0.1781908554002554,0.011936414299285322,0.4550000847364559,,,,,,,,,,,,,,,,,,,,
t_length_g,-6.965047864233266,-2.603779844229671,-1.2739638459237126,-0.8933587425302844,-0.7515454065239754,-4.174160449552504,-2.9874079640516933,-0.7287877338113592,-2.7761263396267677,-22.538828314519215,-1.5531995195453132,-1.097152823555291,-2.220753305458117,-0.8942648176486258,-23.56800781084603,-3.06804275513095,-5.451421621662605,-4.406534546583724,-3.0021978351577157,-3.441818799609914,-1.2186631892120339,-18.499963750869085,-1.8499919631779824,-8.416818556198521,-34.078265153107516,-1.902048449998277,-1.4219819086410341,-2.9459119876362165,-17.32554676519234,-2.1029344788572724,-0.3517022912856029,-4.498985991852462,-1.1436839679887365,-1.8983196801847086,-11.712434852773212,-4.7734834091224485,-5.115818842004996,-2.6592581140016556,-0.7053705855405035,-3.5567096941742213,-2.7216075638115256,-11.124073698898934,-1.8048779863367448,-2.7579430783662535,-0.365048238506914,-2.117698054188159,-4.148608744959899,-4.718976164678398,-3.5957876245496267,-1.0554303324249954,-7.194344213410764,-1.9506259014716223,-4.674489707976082,-17.529519493884138,-1.626913345495207,-3.4767257946078156,-1.5661077735859534,-15.934208370212886,-3.362103436608453,-7.416176689647898,-2.4565104222044845,-4.397976946285356,-3.435465629205967,-2.649635747675853,-0.3655971233022395,-2.717642973131728,-9.08862623402617,-1.5223318553797967,-1.1501291590922178,-7.755550504561006,-1.8914526089432695,-4.175231588598519,-12.043308184890817,-0.9142556316722931,-3.051402328085064,-17.796002535334033,-6.286362238329098,-0.3551915281097116,-13.480745251251026,-13.484639919631599,-10.7066325668314,-1.894525937240072,-1.5628877057651631,-10.04353134193699,-2.096744398232647,-8.532617115419708,-3.2776605242541557,-1.2915052398139946,-12.689635781902009,-3.849680047688878,-0.5203137833071118,-8.697968061680703,-2.3804454835974242,-2.840492190651503,-0.3684669572033237,-3.641462784598627,-1.3757826815725895,-1.8758698764077189,-30.21328251499275,-0.7448406260100882,,,,,,,,,,,,,,,,,,,,
b0_length_g,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,,,,,,,,,,,,,,,,,,,,
beta_crosswalk_g,-0.9882829618803464,-0.9914966847920896,-0.9539653444348049,-0.9755601258877985,-1.035925227807286,-1.0047618906678333,-0.9140290933992548,-1.095741130489141,-0.9459440443863892,-0.995625292594195,-0.9822401215977781,-1.0084402177331193,-0.9356278563595885,-1.0522567879111895,-1.0052432111481897,-1.0577491116752493,-1.0117737754018856,-0.9133441824795441,-0.9563562448041977,-0.8985222281593318,-1.0024669785425049,-0.9604318964336981,-1.056411130953586,-1.0256059685067493,-0.9923627383681348,-0.9958982999282917,-0.9926212877028805,-0.9501729163369729,-1.0528219334447644,-0.8588289041993447,-1.016477957181059,-0.8783268248262284,-1.0315744925260086,-0.992229752048184,-0.9745069370613283,-1.0632891549193353,-1.0785531870524763,-1.1297806452897492,-0.8977168563295117,-0.8740563309580329,-1.003883385411366,-0.9469236524348208,-0.9950267812349496,-0.8546464922240076,-1.003628502963912,-0.9444075167192539,-1.1120857022496442,-1.0522512693412582,-0.9490239949224877,-1.0103405790316782,-0.9865621433781964,-1.0068569325546972,-1.005541028593247,-0.9918555548657744,-0.9325737906556898,-1.0055544931258327,-1.0558039325693227,-0.9366468173316519,-0.9816466134814251,-0.9199067941160947,-0.9010856442321953,-1.0590945561000389,-1.0295902058158142,-0.995760961958868,-0.9932567535765167,-0.9206559553124355,-1.0666982881018885,-1.007146480482433,-0.9969273292119627,-1.078044533435355,-0.8621199134540563,-0.9475158401152523,-0.9398370893297923,-0.9859016501035396,-0.9756382362476788,-0.9958651203550263,-1.0579753785707389,-1.0457792908297359,-0.9974093208257011,-0.9001534637095236,-1.0196329140776486,-1.0123064584847055,-0.9715560141577123,-0.9686524849723205,-0.8943870749526432,-1.0539042191189758,-0.9699271768445588,-0.9790932834353568,-1.0575705618875137,-1.080707926015396,-1.0705356174695626,-0.9803007003426581,-0.9456212109658715,-1.0421821849157364,-0.9601437902574279,-0.981608835292262,-0.9545251752924329,-0.8794744171633804,-1.0054841508998555,-0.9558933411469599,,,,,,,,,,,,,,,,,,,,
